metric,value
total_datapoints,500.0
threshold_60_accuracy,0.528
threshold_60_mean_commit_step,2.09
threshold_60_premature_rate,0.98
threshold_60_mean_confidence,0.6751999999999998
threshold_60_n_samples,500.0
threshold_70_accuracy,0.596
threshold_70_mean_commit_step,3.78
threshold_70_premature_rate,0.878
threshold_70_mean_confidence,0.7256545454545454
threshold_70_n_samples,500.0
threshold_80_accuracy,0.64
threshold_80_mean_commit_step,6.666
threshold_80_premature_rate,0.518
threshold_80_mean_confidence,0.7289
threshold_80_n_samples,500.0
threshold_90_accuracy,0.68
threshold_90_mean_commit_step,8.4
threshold_90_premature_rate,0.274
threshold_90_mean_confidence,0.7081000000000001
threshold_90_n_samples,500.0
cost_of_early_60,0.15200000000000002
cost_of_early_70,0.08400000000000007
cost_of_early_80,0.040000000000000036
cost_of_early_90,0.0
