id,threshold,commit_step,predicted,confidence,correct,total_steps,premature,mean_delta
ID0002,0.6,0,B,0.7,False,11,True,0.35101942734357205
ID0002,0.7,0,B,0.7,False,11,True,0.35101942734357205
ID0002,0.8,10,D,0.6,True,11,False,0.35101942734357205
ID0002,0.9,10,D,0.6,True,11,False,0.35101942734357205
ID0009,0.6,0,A,0.6,False,8,True,0.4571474529848357
ID0009,0.7,7,D,0.5,True,8,False,0.4571474529848357
ID0009,0.8,7,D,0.5,True,8,False,0.4571474529848357
ID0009,0.9,7,D,0.5,True,8,False,0.4571474529848357
ID0010,0.6,0,H,1.0,True,7,True,0.0
ID0010,0.7,0,H,1.0,True,7,True,0.0
ID0010,0.8,0,H,1.0,True,7,True,0.0
ID0010,0.9,0,H,1.0,True,7,True,0.0
ID0013,0.6,0,B,0.7,True,7,True,inf
ID0013,0.7,0,B,0.7,True,7,True,inf
ID0013,0.8,1,B,0.8,True,7,True,inf
ID0013,0.9,6,B,0.7,True,7,False,inf
ID0017,0.6,0,D,0.6,False,6,True,inf
ID0017,0.7,1,D,0.7,False,6,True,inf
ID0017,0.8,5,C,0.5,True,6,False,inf
ID0017,0.9,5,C,0.5,True,6,False,inf
ID0018,0.6,8,D,0.6,True,12,True,0.18507179592545922
ID0018,0.7,11,D,0.8,True,12,False,0.18507179592545922
ID0018,0.8,11,D,0.8,True,12,False,0.18507179592545922
ID0018,0.9,11,D,0.8,True,12,False,0.18507179592545922
ID0025,0.6,1,G,0.8,False,5,True,inf
ID0025,0.7,1,G,0.8,False,5,True,inf
ID0025,0.8,1,G,0.8,False,5,True,inf
ID0025,0.9,4,B,0.9,False,5,False,inf
ID0027,0.6,0,D,0.6,True,8,True,0.1974811695482862
ID0027,0.7,7,D,0.4,True,8,False,0.1974811695482862
ID0027,0.8,7,D,0.4,True,8,False,0.1974811695482862
ID0027,0.9,7,D,0.4,True,8,False,0.1974811695482862
ID0028,0.6,3,A,0.6,True,6,True,0.3145560024867246
ID0028,0.7,5,A,0.6,True,6,False,0.3145560024867246
ID0028,0.8,5,A,0.6,True,6,False,0.3145560024867246
ID0028,0.9,5,A,0.6,True,6,False,0.3145560024867246
ID0030,0.6,0,B,0.6,True,15,True,inf
ID0030,0.7,1,B,0.9,True,15,True,inf
ID0030,0.8,1,B,0.9,True,15,True,inf
ID0030,0.9,1,B,0.9,True,15,True,inf
ID0045,0.6,2,D,0.4,True,3,False,inf
ID0045,0.7,2,D,0.4,True,3,False,inf
ID0045,0.8,2,D,0.4,True,3,False,inf
ID0045,0.9,2,D,0.4,True,3,False,inf
ID0046,0.6,1,A,0.6,False,14,True,0.42234287390939074
ID0046,0.7,4,B,0.7,False,14,True,0.42234287390939074
