id,threshold,commit_step,predicted,confidence,correct,total_steps,premature,mean_delta
0,0.6,1,D,0.6,True,11,True,inf
0,0.7,5,A,0.8,False,11,True,inf
0,0.8,5,A,0.8,False,11,True,inf
0,0.9,10,D,0.7,True,11,False,inf
1,0.6,1,A,0.7,True,11,True,0.1624952572672375
1,0.7,1,A,0.7,True,11,True,0.1624952572672375
1,0.8,2,A,0.8,True,11,True,0.1624952572672375
1,0.9,4,A,0.9,True,11,True,0.1624952572672375
10,0.6,1,A,0.6,True,10,True,0.17471699830770088
10,0.7,8,A,0.7,True,10,True,0.17471699830770088
10,0.8,9,A,0.7,True,10,False,0.17471699830770088
10,0.9,9,A,0.7,True,10,False,0.17471699830770088
100,0.6,2,A,0.8,False,11,True,inf
100,0.7,2,A,0.8,False,11,True,inf
100,0.8,2,A,0.8,False,11,True,inf
100,0.9,10,A,0.8,False,11,False,inf
101,0.6,2,B,0.7,False,11,True,0.2797015484543279
101,0.7,2,B,0.7,False,11,True,0.2797015484543279
101,0.8,10,C,0.5,True,11,False,0.2797015484543279
101,0.9,10,C,0.5,True,11,False,0.2797015484543279
102,0.6,0,B,0.7,True,11,True,inf
102,0.7,0,B,0.7,True,11,True,inf
102,0.8,4,B,1.0,True,11,True,inf
102,0.9,4,B,1.0,True,11,True,inf
103,0.6,3,A,0.6,False,11,True,0.7697021116447641
103,0.7,8,C,0.7,False,11,True,0.7697021116447641
103,0.8,10,C,0.7,False,11,False,0.7697021116447641
103,0.9,10,C,0.7,False,11,False,0.7697021116447641
104,0.6,1,A,0.6,False,11,True,0.43822793312108826
104,0.7,2,A,0.8,False,11,True,0.43822793312108826
104,0.8,2,A,0.8,False,11,True,0.43822793312108826
104,0.9,10,A,0.6,False,11,False,0.43822793312108826
105,0.6,1,D,1.0,True,11,True,inf
105,0.7,1,D,1.0,True,11,True,inf
105,0.8,1,D,1.0,True,11,True,inf
105,0.9,1,D,1.0,True,11,True,inf
106,0.6,1,A,0.7,True,11,True,inf
106,0.7,1,A,0.7,True,11,True,inf
106,0.8,10,A,0.25,True,11,False,inf
106,0.9,10,A,0.25,True,11,False,inf
107,0.6,2,A,0.7,True,11,True,inf
107,0.7,2,A,0.7,True,11,True,inf
107,0.8,4,A,0.9,True,11,True,inf
107,0.9,4,A,0.9,True,11,True,inf
108,0.6,6,A,0.6,False,11,True,inf
108,0.7,7,A,0.8,False,11,True,inf
108,0.8,7,A,0.8,False,11,True,inf
108,0.9,10,A,0.8,False,11,False,inf
109,0.6,0,D,0.7,False,11,True,0.46851259904842446
109,0.7,0,D,0.7,False,11,True,0.46851259904842446
109,0.8,10,B,0.4,True,11,False,0.46851259904842446
109,0.9,10,B,0.4,True,11,False,0.46851259904842446
11,0.6,1,A,0.8,False,11,True,0.4588801899160263
11,0.7,1,A,0.8,False,11,True,0.4588801899160263
11,0.8,1,A,0.8,False,11,True,0.4588801899160263
11,0.9,10,B,0.7,False,11,False,0.4588801899160263
110,0.6,0,A,0.6,False,11,True,inf
110,0.7,1,A,0.8,False,11,True,inf
110,0.8,1,A,0.8,False,11,True,inf
110,0.9,10,A,0.8,False,11,False,inf
111,0.6,2,C,0.7,False,11,True,0.7349134038610508
111,0.7,2,C,0.7,False,11,True,0.7349134038610508
111,0.8,3,A,0.8,False,11,True,0.7349134038610508
111,0.9,10,B,0.7,True,11,False,0.7349134038610508
112,0.6,5,C,0.6,True,11,True,0.037488301306506884
112,0.7,10,C,0.5,True,11,False,0.037488301306506884
112,0.8,10,C,0.5,True,11,False,0.037488301306506884
112,0.9,10,C,0.5,True,11,False,0.037488301306506884
113,0.6,6,A,0.6,False,11,True,0.40591916647387954
113,0.7,7,A,0.8,False,11,True,0.40591916647387954
113,0.8,7,A,0.8,False,11,True,0.40591916647387954
113,0.9,10,B,0.6,True,11,False,0.40591916647387954
114,0.6,5,A,0.7,True,11,True,inf
114,0.7,5,A,0.7,True,11,True,inf
114,0.8,10,D,0.6,False,11,False,inf
114,0.9,10,D,0.6,False,11,False,inf
115,0.6,3,C,0.6,True,11,True,0.22305316021518207
115,0.7,4,C,0.7,True,11,True,0.22305316021518207
115,0.8,9,C,0.8,True,11,True,0.22305316021518207
115,0.9,10,C,0.7,True,11,False,0.22305316021518207
116,0.6,3,C,0.6,True,11,True,inf
116,0.7,4,C,0.8,True,11,True,inf
116,0.8,4,C,0.8,True,11,True,inf
116,0.9,10,C,0.6,True,11,False,inf
117,0.6,1,B,0.7,False,11,True,inf
117,0.7,1,B,0.7,False,11,True,inf
117,0.8,10,D,0.6,True,11,False,inf
117,0.9,10,D,0.6,True,11,False,inf
118,0.6,1,B,0.6,True,11,True,0.5513740498640834
118,0.7,4,A,0.8,False,11,True,0.5513740498640834
118,0.8,4,A,0.8,False,11,True,0.5513740498640834
118,0.9,10,A,0.6,False,11,False,0.5513740498640834
119,0.6,2,C,0.7,False,11,True,inf
119,0.7,2,C,0.7,False,11,True,inf
119,0.8,10,C,0.6,False,11,False,inf
119,0.9,10,C,0.6,False,11,False,inf
12,0.6,0,B,0.6,False,11,True,inf
12,0.7,10,C,0.7,True,11,False,inf
12,0.8,10,C,0.7,True,11,False,inf
12,0.9,10,C,0.7,True,11,False,inf
120,0.6,0,D,0.7,False,11,True,inf
120,0.7,0,D,0.7,False,11,True,inf
120,0.8,1,A,0.8,True,11,True,inf
120,0.9,10,A,0.8,True,11,False,inf
121,0.6,0,D,1.0,True,11,True,inf
121,0.7,0,D,1.0,True,11,True,inf
121,0.8,0,D,1.0,True,11,True,inf
121,0.9,0,D,1.0,True,11,True,inf
122,0.6,2,A,0.8,True,11,True,inf
122,0.7,2,A,0.8,True,11,True,inf
122,0.8,2,A,0.8,True,11,True,inf
122,0.9,3,A,0.9,True,11,True,inf
123,0.6,4,A,0.7,True,11,True,inf
123,0.7,4,A,0.7,True,11,True,inf
123,0.8,6,A,0.85,True,11,True,inf
123,0.9,10,A,0.9,True,11,False,inf
124,0.6,8,A,0.6,True,11,True,0.21878379818774912
124,0.7,9,A,0.7,True,11,True,0.21878379818774912
124,0.8,10,A,0.6,True,11,False,0.21878379818774912
