metric,value
total_datapoints,500.0
threshold_60_accuracy,0.764
threshold_60_mean_commit_step,0.858
threshold_60_premature_rate,1.0
threshold_60_mean_confidence,0.8460039978401844
threshold_60_n_samples,500.0
threshold_70_accuracy,0.806
threshold_70_mean_commit_step,1.188
threshold_70_premature_rate,0.998
threshold_70_mean_confidence,0.8833745863028166
threshold_70_n_samples,500.0
threshold_80_accuracy,0.832
threshold_80_mean_commit_step,1.67
threshold_80_premature_rate,0.994
threshold_80_mean_confidence,0.9288717933104448
threshold_80_n_samples,500.0
threshold_90_accuracy,0.854
threshold_90_mean_commit_step,2.73
threshold_90_premature_rate,0.964
threshold_90_mean_confidence,0.9703169427765636
threshold_90_n_samples,500.0
cost_of_early_60,0.08999999999999997
cost_of_early_70,0.04799999999999993
cost_of_early_80,0.02200000000000002
cost_of_early_90,0.0
