id,threshold,commit_step,predicted,confidence,correct,total_steps,premature,mean_delta
0,0.6,0,D,1.0,True,2,True,1.0437314206251698
0,0.7,0,D,1.0,True,2,True,1.0437314206251698
0,0.8,0,D,1.0,True,2,True,1.0437314206251698
0,0.9,0,D,1.0,True,2,True,1.0437314206251698
1,0.6,2,D,1.0,False,3,False,inf
1,0.7,2,D,1.0,False,3,False,inf
1,0.8,2,D,1.0,False,3,False,inf
1,0.9,2,D,1.0,False,3,False,inf
100,0.6,0,C,0.6,True,2,True,0.0026596890285995878
100,0.7,1,C,0.6,True,2,False,0.0026596890285995878
100,0.8,1,C,0.6,True,2,False,0.0026596890285995878
100,0.9,1,C,0.6,True,2,False,0.0026596890285995878
101,0.6,0,A,0.7,False,11,True,inf
101,0.7,0,A,0.7,False,11,True,inf
101,0.8,10,B,0.6,True,11,False,inf
101,0.9,10,B,0.6,True,11,False,inf
103,0.6,5,D,1.0,False,6,False,inf
103,0.7,5,D,1.0,False,6,False,inf
103,0.8,5,D,1.0,False,6,False,inf
103,0.9,5,D,1.0,False,6,False,inf
104,0.6,4,D,1.0,True,6,True,inf
104,0.7,4,D,1.0,True,6,True,inf
104,0.8,4,D,1.0,True,6,True,inf
104,0.9,4,D,1.0,True,6,True,inf
105,0.6,0,A,0.7,False,2,True,0.44054268747263536
105,0.7,0,A,0.7,False,2,True,0.44054268747263536
105,0.8,1,A,0.8,False,2,False,0.44054268747263536
105,0.9,1,A,0.8,False,2,False,0.44054268747263536
106,0.6,1,D,0.5,False,2,False,0.07662508239597687
106,0.7,1,D,0.5,False,2,False,0.07662508239597687
106,0.8,1,D,0.5,False,2,False,0.07662508239597687
106,0.9,1,D,0.5,False,2,False,0.07662508239597687
108,0.6,0,A,1.0,False,3,True,inf
108,0.7,0,A,1.0,False,3,True,inf
108,0.8,0,A,1.0,False,3,True,inf
108,0.9,0,A,1.0,False,3,True,inf
111,0.6,0,C,0.7,False,3,True,inf
111,0.7,0,C,0.7,False,3,True,inf
111,0.8,2,C,1.0,False,3,False,inf
111,0.9,2,C,1.0,False,3,False,inf
112,0.6,2,A,0.6,False,6,True,0.30187796398634825
112,0.7,4,B,0.7,True,6,True,0.30187796398634825
112,0.8,5,B,0.7,True,6,False,0.30187796398634825
112,0.9,5,B,0.7,True,6,False,0.30187796398634825
114,0.6,0,D,1.0,True,6,True,inf
114,0.7,0,D,1.0,True,6,True,inf
114,0.8,0,D,1.0,True,6,True,inf
114,0.9,0,D,1.0,True,6,True,inf
115,0.6,3,A,0.6,False,4,False,inf
115,0.7,3,A,0.6,False,4,False,inf
115,0.8,3,A,0.6,False,4,False,inf
115,0.9,3,A,0.6,False,4,False,inf
116,0.6,1,D,1.0,False,4,True,0.5015020169561727
116,0.7,1,D,1.0,False,4,True,0.5015020169561727
116,0.8,1,D,1.0,False,4,True,0.5015020169561727
116,0.9,1,D,1.0,False,4,True,0.5015020169561727
12,0.6,0,B,0.6,False,6,True,inf
12,0.7,5,C,0.6,True,6,False,inf
12,0.8,5,C,0.6,True,6,False,inf
12,0.9,5,C,0.6,True,6,False,inf
120,0.6,0,B,0.7,True,2,True,0.21710749648278427
120,0.7,0,B,0.7,True,2,True,0.21710749648278427
120,0.8,1,B,0.7,True,2,False,0.21710749648278427
120,0.9,1,B,0.7,True,2,False,0.21710749648278427
121,0.6,3,A,0.8,True,4,False,0.3972107158634653
121,0.7,3,A,0.8,True,4,False,0.3972107158634653
121,0.8,3,A,0.8,True,4,False,0.3972107158634653
121,0.9,3,A,0.8,True,4,False,0.3972107158634653
122,0.6,3,D,0.7,False,4,False,inf
122,0.7,3,D,0.7,False,4,False,inf
122,0.8,3,D,0.7,False,4,False,inf
122,0.9,3,D,0.7,False,4,False,inf
123,0.6,0,A,0.6,False,3,True,inf
123,0.7,2,C,0.7,True,3,False,inf
123,0.8,2,C,0.7,True,3,False,inf
123,0.9,2,C,0.7,True,3,False,inf
124,0.6,0,C,1.0,True,2,True,0.06875176187496748
124,0.7,0,C,1.0,True,2,True,0.06875176187496748
124,0.8,0,C,1.0,True,2,True,0.06875176187496748
124,0.9,0,C,1.0,True,2,True,0.06875176187496748
125,0.6,0,A,0.6,False,5,True,inf
125,0.7,1,D,1.0,False,5,True,inf
125,0.8,1,D,1.0,False,5,True,inf
125,0.9,1,D,1.0,False,5,True,inf
127,0.6,0,A,0.9,False,3,True,inf
127,0.7,0,A,0.9,False,3,True,inf
127,0.8,0,A,0.9,False,3,True,inf
127,0.9,0,A,0.9,False,3,True,inf
128,0.6,0,B,1.0,False,6,True,inf
128,0.7,0,B,1.0,False,6,True,inf
128,0.8,0,B,1.0,False,6,True,inf
128,0.9,0,B,1.0,False,6,True,inf
130,0.6,0,B,0.6,False,5,True,0.059969669612339516
130,0.7,2,B,0.7,False,5,True,0.059969669612339516
130,0.8,4,B,0.6,False,5,False,0.059969669612339516
130,0.9,4,B,0.6,False,5,False,0.059969669612339516
131,0.6,1,D,0.6,True,2,False,0.548895982310888
131,0.7,1,D,0.6,True,2,False,0.548895982310888
131,0.8,1,D,0.6,True,2,False,0.548895982310888
131,0.9,1,D,0.6,True,2,False,0.548895982310888
135,0.6,0,B,0.7,True,5,True,0.2144807484110268
135,0.7,0,B,0.7,True,5,True,0.2144807484110268
135,0.8,2,B,1.0,True,5,True,0.2144807484110268
135,0.9,2,B,1.0,True,5,True,0.2144807484110268
136,0.6,3,B,0.7,True,4,False,inf
136,0.7,3,B,0.7,True,4,False,inf
136,0.8,3,B,0.7,True,4,False,inf
136,0.9,3,B,0.7,True,4,False,inf
137,0.6,1,C,0.6,True,3,True,0.2052773188407727
137,0.7,2,C,0.7,True,3,False,0.2052773188407727
137,0.8,2,C,0.7,True,3,False,0.2052773188407727
137,0.9,2,C,0.7,True,3,False,0.2052773188407727
138,0.6,1,A,0.6,False,3,True,inf
138,0.7,2,D,0.6,True,3,False,inf
138,0.8,2,D,0.6,True,3,False,inf
138,0.9,2,D,0.6,True,3,False,inf
139,0.6,0,B,0.6,True,4,True,0.6442804271693715
139,0.7,2,B,0.7,True,4,True,0.6442804271693715
139,0.8,3,A,0.25,False,4,False,0.6442804271693715
139,0.9,3,A,0.25,False,4,False,0.6442804271693715
14,0.6,0,B,1.0,False,8,True,inf
14,0.7,0,B,1.0,False,8,True,inf
14,0.8,0,B,1.0,False,8,True,inf
14,0.9,0,B,1.0,False,8,True,inf
142,0.6,0,C,1.0,False,2,True,inf
142,0.7,0,C,1.0,False,2,True,inf
142,0.8,0,C,1.0,False,2,True,inf
142,0.9,0,C,1.0,False,2,True,inf
147,0.6,1,B,0.8,True,7,True,inf
147,0.7,1,B,0.8,True,7,True,inf
147,0.8,1,B,0.8,True,7,True,inf
147,0.9,6,D,0.4,False,7,False,inf
