metric,value
total_datapoints,131.0
threshold_60_accuracy,0.40458015267175573
threshold_60_mean_commit_step,0.8931297709923665
threshold_60_premature_rate,0.8244274809160306
threshold_60_mean_confidence,0.7744274809160305
threshold_60_n_samples,131.0
threshold_70_accuracy,0.45038167938931295
threshold_70_mean_commit_step,1.297709923664122
threshold_70_premature_rate,0.7022900763358778
threshold_70_mean_confidence,0.7908396946564885
threshold_70_n_samples,131.0
threshold_80_accuracy,0.4580152671755725
threshold_80_mean_commit_step,1.786259541984733
threshold_80_premature_rate,0.5419847328244275
threshold_80_mean_confidence,0.8038167938931297
threshold_80_n_samples,131.0
threshold_90_accuracy,0.45038167938931295
threshold_90_mean_commit_step,2.045801526717557
threshold_90_premature_rate,0.4122137404580153
threshold_90_mean_confidence,0.7881679389312977
threshold_90_n_samples,131.0
cost_of_early_60,0.04580152671755722
cost_of_early_70,0.0
cost_of_early_80,-0.007633587786259555
cost_of_early_90,0.0
