metric,value
total_datapoints,494.0
threshold_60_accuracy,0.5384615384615384
threshold_60_mean_commit_step,0.6052631578947368
threshold_60_premature_rate,0.9635627530364372
threshold_60_mean_confidence,0.6672739541160594
threshold_60_n_samples,494.0
threshold_70_accuracy,0.6295546558704453
threshold_70_mean_commit_step,2.2611336032388665
threshold_70_premature_rate,0.7874493927125507
threshold_70_mean_confidence,0.707523616734143
threshold_70_n_samples,494.0
threshold_80_accuracy,0.7044534412955465
threshold_80_mean_commit_step,5.062753036437247
threshold_80_premature_rate,0.2692307692307692
threshold_80_mean_confidence,0.7125024098708309
threshold_80_n_samples,494.0
threshold_90_accuracy,0.7044534412955465
threshold_90_mean_commit_step,5.516194331983805
threshold_90_premature_rate,0.16194331983805668
threshold_90_mean_confidence,0.70735974551764
threshold_90_n_samples,494.0
cost_of_early_60,0.1659919028340081
cost_of_early_70,0.0748987854251012
cost_of_early_80,0.0
cost_of_early_90,0.0
