metric,value
total_datapoints,500.0
threshold_60_accuracy,0.46
threshold_60_mean_commit_step,0.814
threshold_60_premature_rate,0.946
threshold_60_mean_confidence,0.6838467709706406
threshold_60_n_samples,500.0
threshold_70_accuracy,0.536
threshold_70_mean_commit_step,2.434
threshold_70_premature_rate,0.824
threshold_70_mean_confidence,0.7237043388695836
threshold_70_n_samples,500.0
threshold_80_accuracy,0.58
threshold_80_mean_commit_step,6.188
threshold_80_premature_rate,0.382
threshold_80_mean_confidence,0.7166557818334288
threshold_80_n_samples,500.0
threshold_90_accuracy,0.588
threshold_90_mean_commit_step,7.078
threshold_90_premature_rate,0.246
threshold_90_mean_confidence,0.7059874332013321
threshold_90_n_samples,500.0
cost_of_early_60,0.12799999999999995
cost_of_early_70,0.051999999999999935
cost_of_early_80,0.008000000000000007
cost_of_early_90,0.0
